업종명	업소명	소재지(도로명)	소재지(지번)	행정동명
일반음식점	옥림정숯불갈비	대전광역시 중구 중촌로24번길 43 (중촌동)	대전광역시 중구 중촌동 101-22 	중촌동
일반음식점	문정식당	"대전광역시 중구 동서대로1440번길 12, 1층 (선화동)"	대전광역시 중구 선화동 158-2 1층 	은행선화동
일반음식점	아우라식당	대전광역시 중구 중앙로122번길 39 (대흥동)	대전광역시 중구 대흥동 246-7 	대흥동
일반음식점	금호식당	대전광역시 중구 수침로55번길 55 (태평동)	대전광역시 중구 태평동 327-26 	태평1동
일반음식점	대전해물회집	"대전광역시 중구 계백로1618번길 24, 1층 (유천동)"	대전광역시 중구 유천동 181-17 1층 	유천1동
일반음식점	파트너 식당	대전광역시 중구 수침로55번길 37 (태평동)	대전광역시 중구 태평동 327-32 	태평1동
일반음식점	맥스원	대전광역시 중구 문화로 78 (산성동)	대전광역시 중구 산성동 104-41 	산성동
일반음식점	백년장수추어탕	대전광역시 중구 계룡로 947 (대사동)	대전광역시 중구 대사동 248-290 	대사동
일반음식점	구지짐이와막걸리	"대전광역시 중구 보문로 24, 1층 (문창동)"	대전광역시 중구 문창동 365-5 1층 	문창동
일반음식점	우리밥상산에들에	"대전광역시 중구 대흥로175번길 46, 1층 (대흥동)"	대전광역시 중구 대흥동 1-11 (1층) 	대흥동
일반음식점	썸싱	"대전광역시 중구 계룡로882번길 16, 2층 (오류동)"	대전광역시 중구 오류동 151-15 2층 	오류동
일반음식점	명성 반점 식당	대전광역시 중구 용두로 27 (용두동)	대전광역시 중구 용두동 32-7 	용두동
일반음식점	중국대반점	대전광역시 중구 계백로1615번길 34 (유천동)	대전광역시 중구 유천동 10-7 	유천1동
일반음식점	남부식당	대전광역시 중구 대둔산로385번길 13 (산성동)	대전광역시 중구 산성동 124-3 	산성동
일반음식점	영양추어탕	대전광역시 중구 유천로47번길 4 (유천동)	대전광역시 중구 유천동 212-24 (1층) 	유천2동
일반음식점	새터말 식당	대전광역시 중구 보문로 105 (부사동)	대전광역시 중구 부사동 220-2 	부사동
일반음식점	실비식당	대전광역시 중구 대종로610번길 28 (선화동)	대전광역시 중구 선화동 114-9 	은행선화동
일반음식점	오징어어때(본점)	"대전광역시 중구 중앙로130번길 36, 1층 (대흥동)"	대전광역시 중구 대흥동 247 1층 	대흥동
일반음식점	일미면옥	대전광역시 중구 계백로1615번길 29 (유천동)	대전광역시 중구 유천동 204-22 (1층) 	유천1동
일반음식점	비산비야식당	"대전광역시 중구 선화로 130 (선화동,,240-1)"	"대전광역시 중구 선화동 242-1 ,240-1 "	은행선화동
일반음식점	예지원식당	"대전광역시 중구 중앙로16번길 27-17, 1~4층 (문화동)"	대전광역시 중구 문화동 1-178 1~4층 	문화1동
일반음식점	목동칼국수	대전광역시 중구 목중로19번길 76 (목동)	대전광역시 중구 목동 21-19 	목동
일반음식점	쪽살	"대전광역시 중구 대종로 712-1, 1층 (중촌동)"	대전광역시 중구 중촌동 20-13 1층 	중촌동
일반음식점	예스	"대전광역시 중구 계백로 1618, 2층 (유천동)"	대전광역시 중구 유천동 185-35 2층 	유천1동
일반음식점	곤드래한우우거지국밥	"대전광역시 중구 문화로 275-16 (문화동,,대사동 248-363)"	"대전광역시 중구 문화동 1-203 ,대사동 248-363 "	문화1동
일반음식점	신흥식당	"대전광역시 중구 보문로 311 (선화동,,9)"	"대전광역시 중구 선화동 184-8 ,9 "	은행선화동
일반음식점	정봉자쌈밥	대전광역시 중구 어덕마을로 152 (중촌동)	대전광역시 중구 중촌동 23-2 	중촌동
일반음식점	장충동왕족발은행동본점	"대전광역시 중구 대전천서로 503 (은행동,,4,2-1(1층))"	"대전광역시 중구 은행동 1-1 ,4,2-1(1층) "	은행선화동
일반음식점	맛칼국수	대전광역시 중구 선화로 8-7 (용두동)	대전광역시 중구 용두동 24-6 	용두동
일반음식점	뭉티기	"대전광역시 중구 보문로 21 (문창동,(1층))"	대전광역시 중구 문창동 371-1 (1층) 	문창동
일반음식점	그레이	"대전광역시 중구 보문로254번길 49, 2층 (대흥동)"	대전광역시 중구 대흥동 246-4 2층 	대흥동
일반음식점	영진식당	대전광역시 중구 충무로92번길 82 (부사동)	대전광역시 중구 부사동 209-61 	부사동
일반음식점	대전식당	대전광역시 중구 보문로 163-1 (대사동)	대전광역시 중구 대사동 118-3 	대사동
일반음식점	도란도란포차	대전광역시 중구 동서대로 1228-9 (태평동)	대전광역시 중구 태평동 331-9 	태평1동
일반음식점	나루터	"대전광역시 중구 보문산공원로 514 (대사동,,210-7)"	"대전광역시 중구 대사동 210-5 ,210-7 "	대사동
일반음식점	여주옥식당	대전광역시 중구 대흥로24번길 21-6 (대사동)	대전광역시 중구 대사동 248-247 	대사동
일반음식점	창녕식당	"대전광역시 중구 산성로 34, 1층 (산성동)"	대전광역시 중구 산성동 327-1 1층 	산성동
